c file generated by rmnkGenerator.R with seed  0 the 01/16/2024 20:06:45 
c version 1.1
c the links are random and identical for every objective functions
p rMNK 0 2 100 5 
p links
0  0  
14  14  
68  68  
39  39  
1  1  
34  34  
1  1  
87  87  
43  43  
14  14  
82  82  
59  59  
2  2  
51  51  
97  97  
85  85  
21  21  
54  54  
3  3  
74  74  
7  7  
73  73  
79  79  
85  85  
4  4  
37  37  
89  89  
99  99  
34  34  
98  98  
5  5  
44  44  
79  79  
33  33  
84  84  
35  35  
6  6  
70  70  
74  74  
42  42  
38  38  
20  20  
7  7  
28  28  
20  20  
44  44  
87  87  
70  70  
8  8  
40  40  
44  44  
25  25  
70  70  
39  39  
9  9  
51  51  
42  42  
5  5  
24  24  
32  32  
10  10  
14  14  
1  1  
45  45  
18  18  
22  22  
11  11  
78  78  
65  65  
70  70  
87  87  
97  97  
12  12  
75  75  
81  81  
13  13  
40  40  
89  89  
13  13  
48  48  
89  89  
23  23  
84  84  
29  29  
14  14  
12  12  
22  22  
93  93  
28  28  
48  48  
15  15  
33  33  
45  45  
21  21  
31  31  
17  17  
16  16  
73  73  
87  87  
83  83  
90  90  
48  48  
17  17  
64  64  
94  94  
96  96  
60  60  
51  51  
18  18  
93  93  
34  34  
9  9  
0  0  
43  43  
19  19  
59  59  
26  26  
14  14  
58  58  
29  29  
20  20  
24  24  
42  42  
48  48  
76  76  
39  39  
21  21  
24  24  
53  53  
92  92  
86  86  
40  40  
22  22  
97  97  
83  83  
90  90  
35  35  
43  43  
23  23  
0  0  
29  29  
78  78  
21  21  
70  70  
24  24  
28  28  
37  37  
61  61  
46  46  
67  67  
25  25  
86  86  
71  71  
51  51  
44  44  
49  49  
26  26  
60  60  
56  56  
49  49  
50  50  
91  91  
27  27  
6  6  
19  19  
23  23  
51  51  
53  53  
28  28  
15  15  
83  83  
1  1  
48  48  
65  65  
29  29  
44  44  
77  77  
90  90  
66  66  
18  18  
30  30  
16  16  
34  34  
75  75  
31  31  
35  35  
31  31  
99  99  
46  46  
18  18  
75  75  
15  15  
32  32  
40  40  
8  8  
50  50  
92  92  
23  23  
33  33  
9  9  
79  79  
67  67  
31  31  
39  39  
34  34  
95  95  
37  37  
93  93  
11  11  
13  13  
35  35  
15  15  
14  14  
1  1  
65  65  
67  67  
36  36  
73  73  
16  16  
84  84  
4  4  
41  41  
37  37  
91  91  
30  30  
72  72  
35  35  
49  49  
38  38  
41  41  
28  28  
85  85  
64  64  
0  0  
39  39  
53  53  
84  84  
57  57  
88  88  
99  99  
40  40  
86  86  
50  50  
80  80  
29  29  
93  93  
41  41  
1  1  
72  72  
78  78  
35  35  
90  90  
42  42  
39  39  
36  36  
72  72  
56  56  
71  71  
43  43  
73  73  
26  26  
40  40  
14  14  
57  57  
44  44  
37  37  
62  62  
5  5  
3  3  
34  34  
45  45  
99  99  
77  77  
57  57  
71  71  
24  24  
46  46  
30  30  
36  36  
92  92  
27  27  
62  62  
47  47  
19  19  
28  28  
41  41  
60  60  
65  65  
48  48  
27  27  
78  78  
30  30  
11  11  
93  93  
49  49  
80  80  
43  43  
74  74  
25  25  
32  32  
50  50  
3  3  
53  53  
86  86  
89  89  
23  23  
51  51  
36  36  
14  14  
13  13  
81  81  
82  82  
52  52  
97  97  
96  96  
72  72  
53  53  
56  56  
53  53  
71  71  
91  91  
49  49  
73  73  
19  19  
54  54  
98  98  
93  93  
75  75  
1  1  
2  2  
55  55  
37  37  
14  14  
27  27  
54  54  
69  69  
56  56  
92  92  
78  78  
36  36  
42  42  
81  81  
57  57  
0  0  
90  90  
44  44  
83  83  
98  98  
58  58  
22  22  
68  68  
80  80  
91  91  
56  56  
59  59  
51  51  
80  80  
33  33  
93  93  
34  34  
60  60  
74  74  
70  70  
59  59  
38  38  
48  48  
61  61  
97  97  
87  87  
62  62  
32  32  
34  34  
62  62  
10  10  
12  12  
49  49  
59  59  
90  90  
63  63  
90  90  
39  39  
33  33  
68  68  
55  55  
64  64  
24  24  
37  37  
81  81  
88  88  
73  73  
65  65  
44  44  
94  94  
73  73  
75  75  
36  36  
66  66  
96  96  
2  2  
50  50  
18  18  
32  32  
67  67  
51  51  
3  3  
77  77  
59  59  
64  64  
68  68  
63  63  
52  52  
4  4  
43  43  
34  34  
69  69  
22  22  
28  28  
34  34  
35  35  
73  73  
70  70  
99  99  
34  34  
19  19  
21  21  
40  40  
71  71  
86  86  
83  83  
17  17  
43  43  
38  38  
72  72  
28  28  
91  91  
35  35  
31  31  
95  95  
73  73  
50  50  
81  81  
99  99  
51  51  
89  89  
74  74  
72  72  
20  20  
98  98  
79  79  
63  63  
75  75  
88  88  
78  78  
70  70  
58  58  
91  91  
76  76  
90  90  
29  29  
57  57  
14  14  
63  63  
77  77  
5  5  
33  33  
20  20  
0  0  
16  16  
78  78  
76  76  
61  61  
44  44  
90  90  
39  39  
79  79  
65  65  
40  40  
7  7  
24  24  
95  95  
80  80  
19  19  
84  84  
4  4  
73  73  
99  99  
81  81  
54  54  
55  55  
78  78  
28  28  
1  1  
82  82  
0  0  
59  59  
68  68  
57  57  
89  89  
83  83  
96  96  
39  39  
12  12  
24  24  
3  3  
84  84  
41  41  
4  4  
51  51  
64  64  
37  37  
85  85  
12  12  
7  7  
48  48  
82  82  
47  47  
86  86  
46  46  
92  92  
48  48  
50  50  
45  45  
87  87  
10  10  
7  7  
86  86  
60  60  
63  63  
88  88  
83  83  
68  68  
65  65  
98  98  
11  11  
89  89  
66  66  
90  90  
77  77  
76  76  
30  30  
90  90  
98  98  
29  29  
25  25  
47  47  
6  6  
91  91  
43  43  
42  42  
8  8  
7  7  
85  85  
92  92  
44  44  
5  5  
26  26  
43  43  
94  94  
93  93  
9  9  
29  29  
0  0  
5  5  
16  16  
94  94  
59  59  
76  76  
53  53  
89  89  
1  1  
95  95  
96  96  
46  46  
43  43  
4  4  
86  86  
96  96  
37  37  
83  83  
91  91  
27  27  
11  11  
97  97  
99  99  
3  3  
46  46  
25  25  
76  76  
98  98  
2  2  
14  14  
37  37  
50  50  
3  3  
99  99  
63  63  
25  25  
84  84  
96  96  
28  28  
p tables
0.9159262  0.7781813  
0.8952579  0.5155262  
0.6597091  0.505843  
0.6297601  0.4260981  
0.4628477  0.9193318  
0.764979  0.5073743  
0.5135427  0.5983954  
0.5734051  0.5593103  
0.5584021  0.1677153  
0.4258749  0.4735031  
0.6018124  0.9009393  
0.6172817  0.6765688  
0.9904735  0.07324687  
0.9306471  0.5308244  
0.5747479  0.7122246  
0.9071836  0.4701286  
0.8470274  0.7830977  
0.4256856  0.431456  
0.9486604  0.1465618  
0.5505125  0.7671372  
0.9247346  0.6035957  
0.9603436  0.7066615  
0.3766186  0.8510762  
0.2965414  0.5782843  
0.2722459  0.05159533  
0.5631814  0.5481704  
0.7956753  0.05077117  
0.7575192  0.2976945  
0.2834917  0.8298771  
0.9640397  0.04265712  
0.141586  0.542336  
0.2135445  0.2713721  
0.4927751  0.3816321  
0.2434201  0.8355179  
0.04867587  0.6758081  
